2026-09-25T19:48:18Z INFO Logging to /tmp/logs/update_2026-09-25T19-48-18Z.log.
2026-09-25T19:48:18Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T19:48:18Z INFO Processing 367 items (57291 already recorded).
2026-09-25T19:52:06Z INFO [47/367] 15b1d57c-0010-4a0e-9059-09dae0b997b2: 17 groups; 1.5 s; peak memory 167 MiB.
2026-09-25T19:52:09Z INFO [48/367] 15b23515-8577-4713-9761-50082cc1ecad: 33 groups; 2.3 s; peak memory 167 MiB.
2026-09-25T19:52:11Z INFO [49/367] 15b3cb3a-80a0-4aeb-b1df-d78876ffb82f: 25 groups; 1.8 s; peak memory 167 MiB.
2026-09-25T19:52:12Z INFO [50/367] 15b3db8f-4277-4e2b-b6c9-532db8dd5e19: 32 groups; 1.8 s; peak memory 167 MiB.
2026-09-25T19:52:12Z INFO [50/367] 15b3db8f-4277-4e2b-b6c9-532db8dd5e19: checkpointed 57341 records.
2026-09-25T19:52:14Z INFO [51/367] 15b3ea7d-5586-45eb-abe4-a19f6ead85b6: 18 groups; 1.5 s; peak memory 167 MiB.
2026-09-25T19:52:16Z INFO [52/367] 15b5a462-db65-4aec-bc31-4e0afa2f7e0f: 22 groups; 1.7 s; peak memory 167 MiB.
2026-09-25T19:52:17Z INFO [53/367] 15b5b511-8c98-49c7-a847-1e31b5116ebe: 32 groups; 1.8 s; peak memory 167 MiB.
2026-09-25T19:52:20Z INFO [54/367] 15b5e825-80be-40f2-9496-4339d68791d7: 32 groups; 2.5 s; peak memory 167 MiB.
2026-09-25T19:52:23Z INFO [55/367] 15b61949-0fa2-4037-80b8-efce7595ade4: 54 groups; 3.0 s; peak memory 167 MiB.
2026-09-25T19:52:43Z INFO [56/367] 15b69144-18ff-419f-a397-595dde18c317: 3863 groups; 20.0 s; peak memory 258 MiB.
2026-09-25T19:53:01Z INFO [57/367] 15b73960-a00c-4890-a83c-161d12809d32: 18 groups; 18.3 s; peak memory 258 MiB.
2026-09-25T19:53:05Z INFO [58/367] 15b773b0-345f-4d83-ae44-d3de9d773f3f: 48 groups; 3.5 s; peak memory 258 MiB.
