2026-09-25T16:00:03Z INFO Logging to /tmp/logs/update_2026-09-25T16-00-03Z.log.
2026-09-25T16:00:03Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-25T16:00:03Z INFO Processing 381 items (56910 already recorded).
2026-09-25T16:19:30Z INFO [102/381] 14fdcfde-a955-480c-b977-feb2e7b3c03a: 17 groups; 2.7 s; peak memory 486 MiB.
2026-09-25T16:19:32Z INFO [103/381] 14fe20a2-98d7-49dd-8d20-17b807c0f2f7: 35 groups; 1.6 s; peak memory 486 MiB.
2026-09-25T16:19:51Z INFO [104/381] 14fe53fc-a58b-4ab0-96d9-2634591d1b36: 2147 groups; 19.4 s; peak memory 486 MiB.
2026-09-25T16:19:52Z INFO [105/381] 14ff362b-ff40-4c21-990c-39a65595f760: 22 groups; 1.3 s; peak memory 486 MiB.
2026-09-25T16:20:05Z INFO [106/381] 1500e74d-24d3-4fec-9b00-b5785db97cef: 22 groups; 12.2 s; peak memory 486 MiB.
2026-09-25T16:20:07Z INFO [107/381] 15011706-e6e5-4328-a81a-cb5b7a7f9ccb: 202 groups; 2.2 s; peak memory 486 MiB.
2026-09-25T16:20:08Z INFO [108/381] 15019388-0456-4246-801f-c443758b9211: 22 groups; 1.2 s; peak memory 486 MiB.
2026-09-25T16:20:09Z INFO [109/381] 15019a71-c943-4bbf-bc07-d5626f8131dc: 16 groups; 1.1 s; peak memory 486 MiB.
2026-09-25T16:20:11Z INFO [110/381] 1502dc4b-58fa-4142-ad0c-740e1d88a06a: 202 groups; 1.7 s; peak memory 486 MiB.
2026-09-25T16:20:12Z INFO [111/381] 1502e024-af3f-4b56-8ff3-b476d026608d: 32 groups; 1.6 s; peak memory 486 MiB.
2026-09-25T16:20:18Z INFO [112/381] 15032620-1941-4bb7-8c49-948be759f31a: 78 groups; 6.0 s; peak memory 486 MiB.
2026-09-25T16:20:21Z INFO [113/381] 15050c9b-69fd-4628-aef0-9a104fc30fa2: 22 groups; 2.8 s; peak memory 486 MiB.
2026-09-25T16:20:23Z INFO [114/381] 150641d2-9058-413d-8be9-d41ded3db003: 35 groups; 2.0 s; peak memory 486 MiB.
2026-09-25T16:20:25Z INFO [115/381] 15086221-685d-41b6-a00e-6ba6e83bbda2: 24 groups; 1.3 s; peak memory 486 MiB.
2026-09-25T16:20:26Z INFO [116/381] 15091a3c-9f02-41f5-917a-e5801e55fa40: 17 groups; 1.0 s; peak memory 486 MiB.
2026-09-25T16:20:36Z INFO [117/381] 1509acde-171d-4048-852c-a86c7266ae28: 186 groups; 10.1 s; peak memory 486 MiB.
2026-09-25T16:20:37Z INFO [118/381] 1509fe39-6a59-425f-948f-856429c5eb93: 22 groups; 1.3 s; peak memory 486 MiB.
2026-09-25T16:20:43Z INFO [119/381] 150a17f6-c2a7-45a5-a5cd-fba432eaad83: 78 groups; 6.4 s; peak memory 486 MiB.
2026-09-25T16:20:46Z INFO [120/381] 150a31c3-bb06-4f1d-b39a-13f16ba41b31: 35 groups; 2.3 s; peak memory 486 MiB.
