2026-09-18T21:58:54Z INFO Logging to /tmp/logs/update_2026-09-18T21-58-54Z.log.
2026-09-18T21:58:54Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T21:58:54Z INFO Processing 368 items (49901 already recorded).
2026-09-18T22:07:33Z INFO [104/368] 06800a34-27c5-4b64-bd5b-af269ad51f88: 22 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:07:34Z INFO [105/368] 0680a097-c76e-4382-8258-357f58305cad: 32 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:35Z INFO [106/368] 0681337e-3295-4bf2-bca6-4d88b3174b1c: 35 groups; 0.9 s; peak memory 1082 MiB.
2026-09-18T22:07:36Z INFO [107/368] 06822e81-78a2-489b-8385-98ed313a0bc1: 23 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:07:37Z INFO [108/368] 06823506-5894-477c-b550-f647813328bb: 32 groups; 0.9 s; peak memory 1082 MiB.
2026-09-18T22:07:37Z INFO [109/368] 06839373-286c-4716-b9cd-ed9dbff95b70: 22 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:07:41Z INFO [110/368] 06840152-7a68-4e42-a305-47635ddf2804: 60 groups; 3.5 s; peak memory 1082 MiB.
2026-09-18T22:09:03Z INFO [111/368] 068544af-4a80-4c85-aacc-7f424bdddebe: 71 groups; 82.2 s; peak memory 1082 MiB.
2026-09-18T22:09:04Z INFO [112/368] 0685cdec-9137-4d51-8a2c-7a03c41c3602: 35 groups; 1.1 s; peak memory 1082 MiB.
2026-09-18T22:09:05Z INFO [113/368] 0685f8af-b619-44f4-97f9-730de0f0a0cc: 29 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:06Z INFO [114/368] 06865f7a-9300-491f-b453-0579e039226d: 35 groups; 1.1 s; peak memory 1082 MiB.
2026-09-18T22:09:07Z INFO [115/368] 0686d53a-7143-445f-b9b3-2db75fb0174c: 22 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:07Z INFO [116/368] 0689954e-c04d-4da7-9c55-ffef5688914f: 16 groups; 0.6 s; peak memory 1082 MiB.
2026-09-18T22:09:08Z INFO [117/368] 0689bdf1-3d01-4a85-81bb-5e7893a8c61f: 25 groups; 0.7 s; peak memory 1082 MiB.
2026-09-18T22:09:09Z INFO [118/368] 068b1166-fad3-48d9-aeb9-f0c357b7e071: 32 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:09:09Z INFO [119/368] 068b739d-8203-494f-ac0a-62bac0e9c629: 16 groups; 0.4 s; peak memory 1082 MiB.
2026-09-18T22:09:10Z INFO [120/368] 068b9f1c-70d1-4bfe-a128-d3eb2266b2f5: 35 groups; 0.8 s; peak memory 1082 MiB.
2026-09-18T22:09:14Z INFO [121/368] 068c3275-84c4-4fbe-b2ae-3f3b783d6ae4: 34 groups; 3.8 s; peak memory 1082 MiB.
2026-09-18T22:09:14Z INFO [122/368] 068d32d5-549d-4bd9-a382-8614eb35bb41: 28 groups; 0.4 s; peak memory 1082 MiB.
2026-09-18T22:09:17Z INFO [123/368] 068dc429-acd4-4c92-8c2b-c27fe3189b83: 78 groups; 3.2 s; peak memory 1082 MiB.
2026-09-18T22:09:19Z INFO [124/368] 068e4a07-d6fb-42c2-a25a-06d488c926a5: 199 groups; 1.1 s; peak memory 1082 MiB.
