2026-09-20T18:20:33Z INFO Logging to /tmp/logs/update_2026-09-20T18-20-33Z.log.
2026-09-20T18:20:33Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T18:20:33Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:31:25Z INFO [79/363] 0a52de7a-c40e-4a57-9884-155936d34b6f: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:31:33Z INFO [80/363] 0a53bfbc-2c9c-49d4-a0ff-143bae8a1d93: 163 groups; 7.6 s; peak memory 1123 MiB.
2026-09-20T18:31:35Z INFO [81/363] 0a548989-fea2-4f84-b7d2-fec11f2b2e46: 54 groups; 2.0 s; peak memory 1123 MiB.
2026-09-20T18:31:38Z INFO [82/363] 0a56b867-5c3e-4e52-aea0-c506489bed69: 99 groups; 2.8 s; peak memory 1123 MiB.
2026-09-20T18:31:39Z INFO [83/363] 0a56cee9-3567-40e0-89db-3c21841a27a9: 22 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:31:40Z INFO [84/363] 0a58bb1e-432d-440b-8e5d-460cbc8c120a: 29 groups; 1.1 s; peak memory 1123 MiB.
2026-09-20T18:31:40Z INFO [85/363] 0a598248-23db-455d-86e1-4b2e0eaf8056: 16 groups; 0.7 s; peak memory 1123 MiB.
2026-09-20T18:31:41Z INFO [86/363] 0a599d6c-4983-4f03-90bd-2fb0c1adb335: 32 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:31:42Z INFO [87/363] 0a59ac6f-d869-43d8-a5eb-0e3d17922e96: 32 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:31:44Z INFO [88/363] 0a5b2449-7d34-403d-bd5b-c263e8fade21: 48 groups; 2.1 s; peak memory 1123 MiB.
2026-09-20T18:31:45Z INFO [89/363] 0a5c07d8-6802-4036-a0c0-5d616b1d1067: 22 groups; 0.9 s; peak memory 1123 MiB.
2026-09-20T18:31:46Z INFO [90/363] 0a5c3b75-f690-4ae2-9e54-8de2920a39cc: 29 groups; 1.0 s; peak memory 1123 MiB.
2026-09-20T18:31:48Z INFO [91/363] 0a5ed463-2038-486f-a08d-9212764cb87d: 341 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:31:49Z INFO [92/363] 0a5ed989-8af7-48c8-8802-9be080414b9c: 33 groups; 1.3 s; peak memory 1123 MiB.
2026-09-20T18:31:54Z INFO [93/363] 0a5f6405-d361-4d9e-8fde-8ca00be0f3b4: 47 groups; 5.3 s; peak memory 1123 MiB.
2026-09-20T18:31:56Z INFO [94/363] 0a607bf6-5b59-4d7a-a48f-13b03aa469cb: 202 groups; 1.2 s; peak memory 1123 MiB.
2026-09-20T18:31:57Z INFO [95/363] 0a60cc59-486f-43aa-bb90-9270b6af8092: 33 groups; 1.4 s; peak memory 1123 MiB.
2026-09-20T18:31:58Z INFO [96/363] 0a612d67-854d-4f5a-a6a9-bbeeae6a647a: 22 groups; 0.8 s; peak memory 1123 MiB.
