2026-09-20T21:57:25Z INFO Logging to /tmp/logs/update_2026-09-20T21-57-25Z.log.
2026-09-20T21:57:25Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-20T21:57:25Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:57:36Z INFO [82/369] 0b2925d2-3d1e-473d-894b-f0eeb84dd8b0: 28 groups; 1.4 s; peak memory 1122 MiB.
2026-09-20T22:57:37Z INFO [83/369] 0b2a9b1b-5c69-49b0-9f8b-3e14857f0944: 22 groups; 1.3 s; peak memory 1122 MiB.
2026-09-20T22:57:54Z INFO [84/369] 0b2b0855-5c0c-429b-a196-902d5b101722: 222 groups; 17.1 s; peak memory 1122 MiB.
2026-09-20T22:58:01Z INFO [85/369] 0b2c62de-4220-4af7-8507-d724a4389560: 53 groups; 6.7 s; peak memory 1122 MiB.
2026-09-20T22:58:02Z INFO [86/369] 0b2dd134-8cc5-4dc9-af5a-ff04b8fe32a8: 17 groups; 1.2 s; peak memory 1122 MiB.
2026-09-20T22:58:04Z INFO [87/369] 0b2e2421-5df3-49f3-ad03-350004f315d5: 22 groups; 1.5 s; peak memory 1122 MiB.
2026-09-20T22:58:15Z INFO [88/369] 0b2f37af-7433-4c45-9c1a-e3e8c356183e: 122 groups; 11.1 s; peak memory 1122 MiB.
2026-09-20T22:58:17Z INFO [89/369] 0b2ff777-693a-4bb2-bd0f-7c9f7705debf: 341 groups; 2.4 s; peak memory 1122 MiB.
2026-09-20T22:58:19Z INFO [90/369] 0b2ffa75-c9a1-4bcc-a36c-675ed84cf1f7: 42 groups; 2.1 s; peak memory 1122 MiB.
2026-09-20T22:58:23Z INFO [91/369] 0b309d70-80bd-4c15-8822-ac18c5d3eca2: 53 groups; 3.2 s; peak memory 1122 MiB.
2026-09-20T22:58:24Z INFO [92/369] 0b323e98-bacb-419b-b23a-a4677b0da91d: 17 groups; 1.2 s; peak memory 1122 MiB.
2026-09-20T22:58:25Z INFO [93/369] 0b32a99b-65d8-4454-a49d-32e7243f158d: 22 groups; 1.4 s; peak memory 1122 MiB.
