2026-09-18T15:15:15Z INFO Logging to /tmp/logs/update_2026-09-18T15-15-15Z.log.
2026-09-18T15:15:15Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T15:15:15Z INFO Processing 374 items (49152 already recorded).
2026-09-18T15:20:54Z INFO [81/374] 04ebca63-0d09-481c-8472-e583372cede8: 33 groups; 7.0 s; peak memory 402 MiB.
2026-09-18T15:20:59Z INFO [82/374] 04ec7731-2d22-46c7-8b54-ade4cf81fa5b: 174 groups; 5.6 s; peak memory 402 MiB.
2026-09-18T15:21:01Z INFO [83/374] 04ecc08f-4e3e-4b51-8d22-076b0977a190: 54 groups; 1.7 s; peak memory 402 MiB.
2026-09-18T15:21:02Z INFO [84/374] 04ed14e5-e1b3-4d2a-a588-97c22c07f48b: 32 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:21:03Z INFO [85/374] 04ed34f6-8bd8-4518-93ac-a2760da8a530: 203 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:21:04Z INFO [86/374] 04ed57cb-260f-450c-8d7c-98ad421799ec: 48 groups; 1.6 s; peak memory 402 MiB.
2026-09-18T15:21:05Z INFO [87/374] 04f100c5-7e1f-49de-b8c2-34821e174a74: 336 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:21:06Z INFO [88/374] 04f1dd03-5427-4964-be2e-a537f4ce2e50: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:21:07Z INFO [89/374] 04f20083-d3b1-43ee-8624-4f3e91460ef3: 103 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:21:13Z INFO [90/374] 04f2d532-29f8-40db-8cd9-d97be248cbbe: 78 groups; 6.4 s; peak memory 402 MiB.
2026-09-18T15:21:16Z INFO [91/374] 04f3b474-cbe3-466b-a02b-9c690c79a378: 73 groups; 3.2 s; peak memory 402 MiB.
2026-09-18T15:21:17Z INFO [92/374] 04f3f0a9-5799-4439-94e1-9f9e309da750: 36 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:21:18Z INFO [93/374] 04f58417-ecca-411f-be13-d9bb4b372b08: 35 groups; 1.1 s; peak memory 402 MiB.
2026-09-18T15:21:38Z INFO [94/374] 04f69532-62d9-4aba-b999-8c137390cebf: 1024 groups; 20.2 s; peak memory 402 MiB.
2026-09-18T15:21:42Z INFO [95/374] 04f71112-ab4b-47ea-967b-a5cc48c4592b: 146 groups; 3.9 s; peak memory 402 MiB.
2026-09-18T15:21:43Z INFO [96/374] 04f86dbe-6d4b-4d58-ac58-67ef2e4ddf5e: 16 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:21:44Z INFO [97/374] 04f8dbcd-b240-44bf-ab0e-b25f67894097: 33 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:21:46Z INFO [98/374] 04f94ce4-97e9-4fb7-a052-92a966da56df: 34 groups; 2.0 s; peak memory 402 MiB.
2026-09-18T15:21:46Z INFO [99/374] 04fae1e9-fa34-4349-a804-6d95cde357f8: 25 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:21:47Z INFO [100/374] 04fcac86-918f-46bb-9785-c084492c8b9a: 32 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:21:47Z INFO [100/374] 04fcac86-918f-46bb-9785-c084492c8b9a: checkpointed 49252 records.
2026-09-18T15:21:49Z INFO [101/374] 04fcdaae-3990-4615-964c-8ad64ea53bd7: 50 groups; 1.7 s; peak memory 402 MiB.
2026-09-18T15:21:54Z INFO [102/374] 04fd136b-7222-43e3-9408-d79538e49dee: 147 groups; 5.7 s; peak memory 402 MiB.
2026-09-18T15:21:55Z INFO [103/374] 04fd40ac-9429-4f02-b5ba-8377635db041: 22 groups; 0.5 s; peak memory 402 MiB.
2026-09-18T15:21:56Z INFO [104/374] 04fdcc00-e766-4545-b320-721dab9c989e: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:00Z INFO [105/374] 04ff3d1c-0fbb-4356-a9d0-9252fa79d01d: 240 groups; 4.5 s; peak memory 402 MiB.
2026-09-18T15:22:01Z INFO [106/374] 04ffae92-785b-4aa6-a26c-c0287e4caf0a: 22 groups; 0.7 s; peak memory 402 MiB.
2026-09-18T15:22:08Z INFO [107/374] 04fffa38-3b37-4d6c-8de3-368840f7225e: 248 groups; 6.7 s; peak memory 402 MiB.
2026-09-18T15:22:08Z INFO [108/374] 05001f92-0085-4e4d-b830-f234acd3e73d: 22 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:22:10Z INFO [109/374] 05017956-2108-4fc4-a405-c20d9d883c45: 67 groups; 1.6 s; peak memory 402 MiB.
2026-09-18T15:22:14Z INFO [110/374] 0501e906-c202-47b3-ba7c-1df97a77b2f7: 62 groups; 4.7 s; peak memory 402 MiB.
2026-09-18T15:22:19Z INFO [111/374] 050267a9-8330-4f28-8a17-8db7aba456f0: 191 groups; 4.7 s; peak memory 402 MiB.
2026-09-18T15:22:20Z INFO [112/374] 05028253-7a54-4b0b-ab59-2c8fe0fa6ea6: 49 groups; 1.1 s; peak memory 402 MiB.
2026-09-18T15:22:21Z INFO [113/374] 0504e10e-b038-4802-81d2-6a3d67718b59: 203 groups; 0.9 s; peak memory 402 MiB.
2026-09-18T15:22:22Z INFO [114/374] 0504ef12-4cb6-4ca1-8937-6469866a042b: 22 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:22:22Z INFO [115/374] 050550e1-a831-45dd-a977-33bf756d994c: 30 groups; 0.6 s; peak memory 402 MiB.
2026-09-18T15:22:23Z INFO [116/374] 0505bd3b-63c8-4008-a5d3-288a3e74ba7e: 22 groups; 0.8 s; peak memory 402 MiB.
2026-09-18T15:22:24Z INFO [117/374] 0507d609-cc26-46ea-a674-ce2ad35cafae: 22 groups; 0.5 s; peak memory 402 MiB.
