2026-09-24T15:58:39Z INFO Logging to /tmp/logs/update_2026-09-24T15-58-39Z.log.
2026-09-24T15:58:39Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-24T15:58:39Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:07:01Z INFO [103/371] 12b45946-5a82-40d1-9cdb-af789b7ff6fc: 103 groups; 1.5 s; peak memory 300 MiB.
2026-09-24T16:07:03Z INFO [104/371] 12b47ea2-3ff2-4068-a5ca-cb48868de0a6: 35 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:07:04Z INFO [105/371] 12b48acc-3eb6-4aa3-8a5c-b9f6c1dcc20d: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:07:21Z INFO [106/371] 12b4aa27-b1ec-4a1e-bb26-9c21a335cbda: 23 groups; 17.3 s; peak memory 300 MiB.
2026-09-24T16:07:26Z INFO [107/371] 12b4daf8-657c-4466-9a27-e20edffae922: 509 groups; 5.4 s; peak memory 300 MiB.
2026-09-24T16:07:27Z INFO [108/371] 12b5bd8a-9a3a-4eba-8d6b-65c79476e861: 31 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:07:29Z INFO [109/371] 12b60cf6-afd0-4ea2-82b2-9befae694db5: 32 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:07:30Z INFO [110/371] 12b7b6a8-bf6f-4214-a963-36ee0a0ffbff: 16 groups; 0.8 s; peak memory 300 MiB.
2026-09-24T16:07:31Z INFO [111/371] 12b7c6be-ba8f-46b0-99ca-0278da077aa7: 22 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:07:32Z INFO [112/371] 12b8092f-8a71-4bf3-bd81-1bbc726f4d4b: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:07:38Z INFO [113/371] 12bb0a4f-ff89-41f8-92e9-f8e6f4e94f5d: 67 groups; 6.2 s; peak memory 300 MiB.
2026-09-24T16:07:39Z INFO [114/371] 12bba5f5-88d4-495b-ba8a-57377aeb3248: 19 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:07:41Z INFO [115/371] 12bcd538-749b-4072-9939-36a662dfa9b1: 33 groups; 1.4 s; peak memory 300 MiB.
2026-09-24T16:08:01Z INFO [116/371] 12bd530e-25f3-4b90-9a05-b5265c9bcfea: 2820 groups; 20.3 s; peak memory 300 MiB.
2026-09-24T16:08:02Z INFO [117/371] 12bd64f3-79a9-49a4-b3b4-35d3e28e6186: 22 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:08:29Z INFO [118/371] 12bdb5b8-70a0-4261-87d1-e087ac489c87: 3127 groups; 26.9 s; peak memory 300 MiB.
2026-09-24T16:08:31Z INFO [119/371] 12bdc79f-153c-48ea-b652-12c6bade2cd0: 199 groups; 1.6 s; peak memory 300 MiB.
2026-09-24T16:08:33Z INFO [120/371] 12bdee17-a9ac-4d4a-afca-14ee65427348: 32 groups; 2.0 s; peak memory 300 MiB.
2026-09-24T16:08:34Z INFO [121/371] 12bdf99a-29e1-4f9a-8b7e-c76adfef42a5: 22 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:08:35Z INFO [122/371] 12be4017-fe3a-4ff7-9a36-03fb09c76774: 22 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:08:36Z INFO [123/371] 12be616e-1b83-4388-8283-736bbaff00b1: 21 groups; 1.3 s; peak memory 300 MiB.
2026-09-24T16:08:46Z INFO [124/371] 12bf7739-7e21-40ba-8df1-03cf2a90ffc0: 207 groups; 9.1 s; peak memory 300 MiB.
2026-09-24T16:08:47Z INFO [125/371] 12c1875d-23c5-4f55-90d4-bd3dbb3357e3: 22 groups; 1.2 s; peak memory 300 MiB.
2026-09-24T16:09:12Z INFO [126/371] 12c1a2e7-ae3a-45f1-988b-e20dcf712ba9: 218 groups; 25.0 s; peak memory 300 MiB.
2026-09-24T16:09:13Z INFO [127/371] 12c1ef84-b79c-4f26-bd43-a4120dcd50c9: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:09:15Z INFO [128/371] 12c48191-926e-4e83-a70c-ba319c3e0ed1: 48 groups; 2.2 s; peak memory 300 MiB.
2026-09-24T16:09:16Z INFO [129/371] 12c4932f-32d9-4f87-b9b3-ee8f59828554: 22 groups; 1.1 s; peak memory 300 MiB.
2026-09-24T16:09:18Z INFO [130/371] 12c516b2-8fe3-4f31-8973-dd0032645137: 20 groups; 1.4 s; peak memory 300 MiB.
