2026-09-26T15:10:48Z INFO Logging to /tmp/logs/update_2026-09-26T15-10-48Z.log.
2026-09-26T15:10:48Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-26T15:10:48Z INFO Processing 384 items (58022 already recorded).
2026-09-26T15:18:46Z INFO [98/384] 174dd84e-039e-4196-bcad-b514f3047a7f: 32 groups; 13.0 s; peak memory 271 MiB.
2026-09-26T15:18:47Z INFO [99/384] 174e2644-0526-4721-a092-d5eb00467300: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:18:48Z INFO [100/384] 174e4ab8-5843-40a0-af04-8d94c3d1b1a1: 32 groups; 1.4 s; peak memory 271 MiB.
2026-09-26T15:18:48Z INFO [100/384] 174e4ab8-5843-40a0-af04-8d94c3d1b1a1: checkpointed 58122 records.
2026-09-26T15:18:49Z INFO [101/384] 174e9c78-5c13-435b-b801-fb70528703bf: 31 groups; 1.0 s; peak memory 271 MiB.
2026-09-26T15:18:51Z INFO [102/384] 174ebe82-20c3-4818-ba61-5c8f69c5336a: 32 groups; 1.6 s; peak memory 271 MiB.
2026-09-26T15:18:52Z INFO [103/384] 174f63a5-c5f0-4b08-afa3-81fc4c96187e: 32 groups; 1.4 s; peak memory 271 MiB.
2026-09-26T15:18:55Z INFO [104/384] 174f7808-425e-4d21-a3ae-55016da10f55: 48 groups; 2.9 s; peak memory 271 MiB.
2026-09-26T15:18:58Z INFO [105/384] 174fe02d-7691-4d9c-bcb9-72eec206077d: 48 groups; 3.0 s; peak memory 271 MiB.
2026-09-26T15:19:00Z INFO [106/384] 17519afe-ada3-40ca-b7d6-b77a0e87b4d1: 33 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:19:01Z INFO [107/384] 1751e552-d913-4758-b068-46fc3e022084: 103 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:19:02Z INFO [108/384] 17527cd0-256a-408c-8d26-1bd9f4258e02: 22 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:19:11Z INFO [109/384] 1752a113-1aea-467a-883e-360d1534637e: 183 groups; 9.2 s; peak memory 271 MiB.
2026-09-26T15:19:13Z INFO [110/384] 17531c8b-e09f-4c14-9538-6e7836e774e2: 41 groups; 1.3 s; peak memory 271 MiB.
2026-09-26T15:19:14Z INFO [111/384] 17541a02-d7cc-424d-92e1-35944db9f35f: 25 groups; 1.0 s; peak memory 271 MiB.
2026-09-26T15:19:15Z INFO [112/384] 175465b1-32ef-43ee-89e8-95a6e251dd8b: 104 groups; 1.7 s; peak memory 271 MiB.
2026-09-26T15:19:17Z INFO [113/384] 1754b3b7-5a2d-44df-8abb-7b6705f21e65: 33 groups; 1.2 s; peak memory 271 MiB.
2026-09-26T15:21:27Z INFO [114/384] 1754b917-b57a-4954-b9d9-4d45675c2565: 80 groups; 130.5 s; peak memory 310 MiB.
2026-09-26T15:21:31Z INFO [115/384] 1754c04b-393e-4c1f-8fdf-8468edf0d471: 37 groups; 3.6 s; peak memory 310 MiB.
2026-09-26T15:21:40Z INFO [116/384] 1755329d-ad0d-4fa2-9d2e-befddcef5878: 56 groups; 9.0 s; peak memory 310 MiB.
2026-09-26T15:21:41Z INFO [117/384] 17554888-9dee-4858-a8d6-e8e20385909e: 22 groups; 1.2 s; peak memory 310 MiB.
2026-09-26T15:21:43Z INFO [118/384] 17555eb3-a487-4925-8212-afd1a785c1be: 35 groups; 2.0 s; peak memory 310 MiB.
2026-09-26T15:21:45Z INFO [119/384] 17562f12-864d-4098-a42b-fbd02d405607: 206 groups; 2.1 s; peak memory 310 MiB.
2026-09-26T15:21:46Z INFO [120/384] 17564ab3-fc55-4c9a-9eca-1cfe412fef06: 32 groups; 1.5 s; peak memory 310 MiB.
2026-09-26T15:21:48Z INFO [121/384] 1757b058-dd1b-49e0-a40a-87e29c95798c: 32 groups; 1.9 s; peak memory 310 MiB.
2026-09-26T15:21:50Z INFO [122/384] 1757d268-13f6-419d-aaec-c7aab7d3c46c: 202 groups; 1.6 s; peak memory 310 MiB.
2026-09-26T15:21:53Z INFO [123/384] 1757fcd7-ccc7-46d4-a2df-a7de1c841bb5: 48 groups; 2.7 s; peak memory 310 MiB.
2026-09-26T15:21:54Z INFO [124/384] 1758e77c-d612-422c-a799-f35ac518ef6f: 203 groups; 1.7 s; peak memory 310 MiB.
2026-09-26T15:22:08Z INFO [125/384] 175982f5-2112-4367-b36b-0c75e961dbee: 192 groups; 13.8 s; peak memory 310 MiB.
2026-09-26T15:22:09Z INFO [126/384] 1759a385-a27f-41dd-b142-caec0e4d6853: 17 groups; 1.1 s; peak memory 310 MiB.
2026-09-26T15:24:11Z INFO [127/384] 1759aac4-6cce-4c76-9ace-fe0d6263ae14: 60 groups; 122.2 s; peak memory 387 MiB.
2026-09-26T15:32:42Z INFO [128/384] 1759b6ca-7f21-4f35-822f-ebbfa84f5810: 46 groups; 510.4 s; peak memory 1226 MiB.
2026-09-26T15:32:43Z INFO [129/384] 175a8c75-4dc4-4d5d-8b3b-91e39fee896b: 32 groups; 1.4 s; peak memory 1226 MiB.
2026-09-26T15:32:45Z INFO [130/384] 175b2dad-be0a-4f0a-a132-b246e7685aad: 35 groups; 1.7 s; peak memory 1226 MiB.
