2026-09-21T21:17:01Z INFO Logging to /tmp/logs/update_2026-09-21T21-17-01Z.log.
2026-09-21T21:17:01Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T21:17:01Z INFO Processing 356 items (52866 already recorded).
2026-09-21T21:22:05Z INFO [71/356] 0ca66fab-77c9-434c-bcbb-088dc4618c90: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:06Z INFO [72/356] 0ca6803e-c0a6-49f8-b5fc-a1820abce9e5: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:07Z INFO [73/356] 0ca6a9b7-e2da-4fbb-ac9f-82e7df213443: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:08Z INFO [74/356] 0ca6af8a-dcaf-4580-9127-0b712b8a88df: 32 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:22:14Z INFO [75/356] 0ca7df4c-e21f-4188-b3bc-b2e2e8cb3115: 112 groups; 5.2 s; peak memory 212 MiB.
2026-09-21T21:22:15Z INFO [76/356] 0ca7f883-3a3f-4087-8d0c-029c8e98ee37: 35 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:22:17Z INFO [77/356] 0ca913fd-c6ca-4142-9eb9-82537e4f7303: 195 groups; 1.5 s; peak memory 212 MiB.
2026-09-21T21:22:18Z INFO [78/356] 0caaa06c-58fa-47ee-810e-65e09c85ab2c: 16 groups; 0.8 s; peak memory 212 MiB.
2026-09-21T21:22:19Z INFO [79/356] 0caae806-5d7e-4b81-873c-dc23cd2381e9: 22 groups; 0.9 s; peak memory 212 MiB.
2026-09-21T21:22:20Z INFO [80/356] 0caaedce-7696-4563-815d-7ba5b0a35c95: 22 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:22:29Z INFO [81/356] 0cab1578-d520-433a-9dac-acee68dfb0d9: 216 groups; 9.1 s; peak memory 212 MiB.
2026-09-21T21:22:30Z INFO [82/356] 0cab82fe-9bf6-4b97-b7f7-e35fa3ef5b87: 18 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:31Z INFO [83/356] 0cac9995-0d51-4763-a046-6303bb40dd44: 32 groups; 1.5 s; peak memory 212 MiB.
2026-09-21T21:22:34Z INFO [84/356] 0cad0f68-5304-48c7-a7f6-b0adaf66e41a: 47 groups; 2.4 s; peak memory 212 MiB.
2026-09-21T21:22:35Z INFO [85/356] 0cade163-c2e0-4ca1-88f9-a802b803a264: 32 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:22:36Z INFO [86/356] 0cae0a41-48a4-4b84-8d3e-2d6aa23b8e87: 33 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:22:39Z INFO [87/356] 0cae139a-b658-4048-9c44-98ea5240dab7: 46 groups; 2.6 s; peak memory 212 MiB.
2026-09-21T21:22:40Z INFO [88/356] 0caf61c8-aee5-4c1d-a648-e5354ca63bac: 32 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:22:41Z INFO [89/356] 0caf94e2-05da-496d-b092-5a1d5dd00ab7: 32 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:22:43Z INFO [90/356] 0cafd369-2eef-4504-b25c-0471ffc114c9: 32 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:22:45Z INFO [91/356] 0cafe0d3-4359-4090-b642-b20aaac01c94: 48 groups; 2.3 s; peak memory 212 MiB.
2026-09-21T21:22:46Z INFO [92/356] 0cb0ce39-d72b-4704-9f88-bc66a5c7c731: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:48Z INFO [93/356] 0cb1add9-a132-41d2-b51a-994a6d21ff8c: 206 groups; 1.9 s; peak memory 212 MiB.
2026-09-21T21:22:49Z INFO [94/356] 0cb296af-b97f-457b-a243-a267148fd4ea: 22 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:22:50Z INFO [95/356] 0cb3f9b5-0c65-4228-b6b3-cfc3fdbb4a4b: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:51Z INFO [96/356] 0cb48758-35c9-4f76-b675-40c9580f7d64: 194 groups; 1.5 s; peak memory 212 MiB.
2026-09-21T21:22:52Z INFO [97/356] 0cb50ad4-a246-4121-8dac-9cc1160b4023: 22 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:22:53Z INFO [98/356] 0cb6018c-007a-40dd-b5de-fd0117ac3299: 22 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:22:55Z INFO [99/356] 0cb61ed4-f561-4f93-b14c-432de49e6619: 54 groups; 2.0 s; peak memory 212 MiB.
2026-09-21T21:22:57Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: 251 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:22:57Z INFO [100/356] 0cb78b9e-5a60-4a42-856a-c1470d38ea91: checkpointed 52966 records.
2026-09-21T21:22:59Z INFO [101/356] 0cb7ccaf-7c74-414b-ae72-4e1d8f9e04c1: 108 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:23:00Z INFO [102/356] 0cb9539b-06dc-4fa1-99b6-5335e8cbf0cf: 32 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:23:02Z INFO [103/356] 0cb99df3-ef1d-43a4-87f8-e75ce0b815ae: 202 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:23:03Z INFO [104/356] 0cb9c43a-6610-4101-9bcb-a221055dd28e: 17 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:23:04Z INFO [105/356] 0cba574d-cd88-46e7-aa14-08adf4e88878: 35 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:23:06Z INFO [106/356] 0cba6224-5ca0-4e75-940a-6a3fc72d3f5c: 35 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:23:07Z INFO [107/356] 0cbae780-a8b5-4caf-afa0-460218e004ba: 336 groups; 1.9 s; peak memory 212 MiB.
2026-09-21T21:23:22Z INFO [108/356] 0cbb05ef-ac17-47d0-bd80-43e32d51800c: 23 groups; 15.0 s; peak memory 212 MiB.
2026-09-21T21:23:37Z INFO [109/356] 0cbb3125-fc72-4a6a-999f-73818b3d07e7: 17 groups; 14.3 s; peak memory 212 MiB.
2026-09-21T21:23:38Z INFO [110/356] 0cbb777a-a217-4422-8ce6-e97b1743e300: 26 groups; 1.5 s; peak memory 212 MiB.
2026-09-21T21:23:39Z INFO [111/356] 0cbbd328-4a05-41c6-a388-23bee34ae855: 19 groups; 1.1 s; peak memory 212 MiB.
2026-09-21T21:23:40Z INFO [112/356] 0cbcc93b-6413-42a4-9ff2-192db81e59a9: 32 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:23:42Z INFO [113/356] 0cbd268d-e2ff-4919-ab28-aafde7e83f56: 336 groups; 1.8 s; peak memory 212 MiB.
2026-09-21T21:23:44Z INFO [114/356] 0cbdeb16-eafa-4fdf-9dda-3bd5892a04ba: 32 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:23:46Z INFO [115/356] 0cbe9f74-495d-46a9-b6dd-afe7e8a46450: 17 groups; 2.2 s; peak memory 212 MiB.
2026-09-21T21:23:47Z INFO [116/356] 0cbefd5a-2284-4167-b2cd-bfd7aa5066a7: 35 groups; 1.7 s; peak memory 212 MiB.
2026-09-21T21:23:49Z INFO [117/356] 0cbf0247-8612-47d2-b9e1-ab0d7b03361e: 32 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:23:50Z INFO [118/356] 0cbf33c8-0d31-4587-aa4d-6adc96eefc82: 16 groups; 1.0 s; peak memory 212 MiB.
2026-09-21T21:23:52Z INFO [119/356] 0cbfe541-294f-42e4-b142-b41b61d90ed8: 199 groups; 2.0 s; peak memory 212 MiB.
2026-09-21T21:23:55Z INFO [120/356] 0cc0b6b8-856b-4f8b-aa67-71f7f3e3a109: 49 groups; 3.3 s; peak memory 212 MiB.
2026-09-21T21:23:56Z INFO [121/356] 0cc0bc15-41f5-4fcf-aa44-ed1330bed371: 71 groups; 1.2 s; peak memory 212 MiB.
2026-09-21T21:23:58Z INFO [122/356] 0cc1beb6-692b-499a-83c7-906fccfbbfe1: 32 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:23:59Z INFO [123/356] 0cc203e6-6a52-4adf-9169-437802d79c52: 32 groups; 1.5 s; peak memory 212 MiB.
2026-09-21T21:24:01Z INFO [124/356] 0cc2fd16-bfe7-4050-8a6c-77ca8a1590e3: 252 groups; 1.4 s; peak memory 212 MiB.
2026-09-21T21:24:02Z INFO [125/356] 0cc395a0-3461-41ee-877e-8450c51b2ba1: 29 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:24:03Z INFO [126/356] 0cc3b4c0-2cd8-4a0b-a4fe-61f11e97a7ba: 34 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:24:04Z INFO [127/356] 0cc3be3a-bdbb-44e4-b407-50732a634a4f: 32 groups; 1.3 s; peak memory 212 MiB.
2026-09-21T21:24:06Z INFO [128/356] 0cc46824-e998-453f-8cba-02864eab0cf0: 70 groups; 1.5 s; peak memory 212 MiB.
2026-09-21T21:31:37Z INFO [129/356] 0cc5c820-2972-4c4e-89d7-8cd7ce5ad162: 46 groups; 451.2 s; peak memory 1123 MiB.
2026-09-21T21:31:48Z INFO [130/356] 0cc63ef1-296d-41d0-8edf-a2e051d4c83c: 222 groups; 10.6 s; peak memory 1123 MiB.
2026-09-21T21:32:01Z INFO [131/356] 0cc6bc1e-15bb-4aad-9b15-54aa58e4ad06: 18 groups; 13.3 s; peak memory 1123 MiB.
