2026-09-17T15:43:16Z INFO Logging to /tmp/logs/update_2026-09-17T15-43-16Z.log.
2026-09-17T15:43:16Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-17T15:43:16Z INFO Processing 385 items (48030 already recorded).
2026-09-17T16:09:54Z INFO [122/385] 02905b08-b0de-402c-a7db-e62e49f05671: 137 groups; 4.5 s; peak memory 1307 MiB.
2026-09-17T16:09:55Z INFO [123/385] 0290f830-5dad-4a54-81f3-fd456cd54b17: 22 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:09:57Z INFO [124/385] 0290fa92-2465-4fed-8343-9bb5c1bc9974: 91 groups; 2.1 s; peak memory 1307 MiB.
2026-09-17T16:09:58Z INFO [125/385] 0291822b-1a0b-4ce3-bef3-c4eb937ab88e: 22 groups; 0.9 s; peak memory 1307 MiB.
2026-09-17T16:09:59Z INFO [126/385] 0291edda-91e2-4268-b7c4-453a5550909e: 25 groups; 1.0 s; peak memory 1307 MiB.
2026-09-17T16:10:04Z INFO [127/385] 029295d9-7ab6-49d9-af94-d28f2b3bbde5: 34 groups; 5.7 s; peak memory 1307 MiB.
2026-09-17T16:10:05Z INFO [128/385] 02935dd8-b9a1-4625-8c3a-f8f14ff0e25e: 22 groups; 0.7 s; peak memory 1307 MiB.
2026-09-17T16:10:10Z INFO [129/385] 02937297-72ad-4c19-8e02-f0bc9d9f5c0f: 289 groups; 4.9 s; peak memory 1307 MiB.
2026-09-17T16:10:11Z INFO [130/385] 02938ebc-1379-4389-af75-d487d29f0a27: 35 groups; 1.1 s; peak memory 1307 MiB.
2026-09-17T16:10:22Z INFO [131/385] 02946b87-acda-4ee1-8dc5-19939ec7b787: 201 groups; 10.4 s; peak memory 1307 MiB.
2026-09-17T16:10:23Z INFO [132/385] 02949b71-7360-4a8f-9b81-9f51282f8e5c: 35 groups; 1.4 s; peak memory 1307 MiB.
2026-09-17T16:10:24Z INFO [133/385] 0294e0a5-df23-4bd9-bb5f-f1660afbbc22: 35 groups; 1.3 s; peak memory 1307 MiB.
2026-09-17T16:10:25Z INFO [134/385] 02950439-2230-46aa-bae8-d7ee63bff896: 22 groups; 0.8 s; peak memory 1307 MiB.
