2026-09-19T13:31:12Z INFO Logging to /tmp/logs/update_2026-09-19T13-31-12Z.log.
2026-09-19T13:31:12Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-19T13:31:12Z INFO Processing 374 items (50269 already recorded).
2026-09-19T13:36:58Z INFO [68/374] 073798cd-3794-4d47-968f-5516667d3c64: 255 groups; 1.9 s; peak memory 525 MiB.
2026-09-19T13:37:00Z INFO [69/374] 0738092e-c13a-46ca-a553-ed8742c09d09: 32 groups; 2.0 s; peak memory 525 MiB.
2026-09-19T13:37:00Z INFO [70/374] 073834d2-6ec5-47a4-9c1c-0d43b3f0aec8: 16 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:01Z INFO [71/374] 07387a8a-1e7a-4f5b-9cdb-f0a7c0c34bec: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:02Z INFO [72/374] 07389290-f0e4-47f1-80f5-3f10a4e3d0a0: 27 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:37:02Z INFO [73/374] 07394f4f-9319-4c8e-8941-bed9af9dfb87: 16 groups; 0.4 s; peak memory 525 MiB.
2026-09-19T13:37:03Z INFO [74/374] 07395998-ace3-4f88-9238-93d2114ca561: 35 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:37:04Z INFO [75/374] 0739aee1-139d-4315-842b-2346717f1993: 24 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:37:11Z INFO [76/374] 0739c079-730e-4f94-8968-ac8a762e87a9: 22 groups; 7.0 s; peak memory 525 MiB.
2026-09-19T13:37:12Z INFO [77/374] 073bbac3-923c-40f8-b818-7e939c11fbd2: 22 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:37:13Z INFO [78/374] 073d3d29-6a7e-493c-b0e9-a18fb8110c86: 33 groups; 1.0 s; peak memory 525 MiB.
2026-09-19T13:37:19Z INFO [79/374] 073d521e-5655-4ede-ae1d-3a0fb7723ade: 228 groups; 6.8 s; peak memory 525 MiB.
2026-09-19T13:37:20Z INFO [80/374] 073d5f1f-1329-4b2b-9407-e256fb9940dd: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:20Z INFO [81/374] 073d6127-2f57-43dd-a84d-5974eccb2400: 26 groups; 0.5 s; peak memory 525 MiB.
2026-09-19T13:37:21Z INFO [82/374] 073e8b63-a118-4530-9528-d57ae054fe03: 16 groups; 0.4 s; peak memory 525 MiB.
2026-09-19T13:37:21Z INFO [83/374] 073f07fe-770a-4c15-9198-b494aad96e92: 17 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:36Z INFO [84/374] 073fab4a-745c-42ae-bb18-c5dfac413f18: 1696 groups; 14.8 s; peak memory 525 MiB.
2026-09-19T13:37:37Z INFO [85/374] 073fc345-4dc7-4550-826c-932df63a1c8f: 206 groups; 1.1 s; peak memory 525 MiB.
2026-09-19T13:37:39Z INFO [86/374] 07403379-4e25-4a8d-949c-da85153d82ca: 17 groups; 1.2 s; peak memory 525 MiB.
2026-09-19T13:37:39Z INFO [87/374] 07409f96-5db8-481c-835f-5e44a5d9e2e5: 202 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:37:40Z INFO [88/374] 07413bc3-193c-4bc6-af16-d64577159d0d: 22 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:37:42Z INFO [89/374] 07419366-d1ce-44d8-92ea-5bc81a3770a5: 50 groups; 1.7 s; peak memory 525 MiB.
2026-09-19T13:37:43Z INFO [90/374] 07423052-6e3e-46dc-8468-c875a7e94260: 48 groups; 1.0 s; peak memory 525 MiB.
2026-09-19T13:37:49Z INFO [91/374] 07426c15-123e-47f6-a5c8-72ea9790ee0d: 211 groups; 5.8 s; peak memory 525 MiB.
2026-09-19T13:37:49Z INFO [92/374] 07427eec-fdea-4959-b88b-107347957ea8: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:50Z INFO [93/374] 0742bdef-666d-422b-a375-1fec0feb0166: 22 groups; 0.5 s; peak memory 525 MiB.
2026-09-19T13:37:50Z INFO [94/374] 0742d926-1ded-4182-81b1-11b3a9fac04d: 32 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:37:51Z INFO [95/374] 0743524a-37ad-4930-b01a-d7d80419615f: 32 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:37:52Z INFO [96/374] 0743ebf1-1a58-48c8-b7d2-0538d3c8f769: 108 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:37:52Z INFO [97/374] 0744f0b8-0d03-44c2-b20e-d4614ead0a24: 20 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:37:53Z INFO [98/374] 07457fae-8cd5-4caf-8115-5fbef6e8bf68: 32 groups; 0.8 s; peak memory 525 MiB.
2026-09-19T13:37:57Z INFO [99/374] 07459460-c253-4db1-b030-50e542edec2d: 47 groups; 3.7 s; peak memory 525 MiB.
2026-09-19T13:37:58Z INFO [100/374] 0746aa17-7740-4f69-8651-710195be2827: 336 groups; 1.1 s; peak memory 525 MiB.
2026-09-19T13:37:58Z INFO [100/374] 0746aa17-7740-4f69-8651-710195be2827: checkpointed 50369 records.
2026-09-19T13:37:59Z INFO [101/374] 074702ff-f65d-4938-9413-dcd8db3b2005: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:38:00Z INFO [102/374] 0747af25-6590-4a8c-9f6f-0b2c9658c558: 35 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:38:00Z INFO [103/374] 0748c348-52c5-44eb-bdab-2a36d41c76ee: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:38:01Z INFO [104/374] 074927a7-271c-4a14-8046-2d56acc8f150: 202 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:38:02Z INFO [105/374] 074a134e-8d86-465e-aebc-4c5edda77b35: 252 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:38:02Z INFO [106/374] 074a552f-0115-4aa2-a401-f8f1dbfb08e9: 31 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:38:03Z INFO [107/374] 074a7171-6039-46d4-aee0-01b167730558: 32 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:38:04Z INFO [108/374] 074a7c8c-db1a-4808-8139-4ee0409c9319: 22 groups; 0.6 s; peak memory 525 MiB.
2026-09-19T13:38:04Z INFO [109/374] 074ba1ad-768f-41a8-8d68-626120e0b38b: 20 groups; 0.5 s; peak memory 525 MiB.
2026-09-19T13:38:05Z INFO [110/374] 074bbce5-ac67-423e-bfa6-b6421580bd5a: 22 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:38:05Z INFO [111/374] 074c1c05-9dd7-44a6-909f-0a38431eef44: 26 groups; 0.5 s; peak memory 525 MiB.
2026-09-19T13:38:07Z INFO [112/374] 074c3b3b-601b-4da7-b144-fda3f6a34f75: 50 groups; 1.7 s; peak memory 525 MiB.
2026-09-19T13:38:09Z INFO [113/374] 074cd1df-6326-43bf-9603-d57c05838e23: 48 groups; 1.5 s; peak memory 525 MiB.
2026-09-19T13:38:10Z INFO [114/374] 074cdbd8-019e-4f2c-b92a-b3cd632159a1: 35 groups; 1.6 s; peak memory 525 MiB.
2026-09-19T13:38:15Z INFO [115/374] 074cf84e-cd59-45a3-9ac2-672052ff2605: 177 groups; 4.9 s; peak memory 525 MiB.
2026-09-19T13:38:16Z INFO [116/374] 074cff72-0d5d-4eef-b9e6-666d745ba78a: 22 groups; 0.7 s; peak memory 525 MiB.
2026-09-19T13:38:20Z INFO [117/374] 074d8f7c-fed3-4a32-919c-26346f21a8af: 181 groups; 3.9 s; peak memory 525 MiB.
2026-09-19T13:38:21Z INFO [118/374] 074de621-78c7-4319-a08c-64588dc0f767: 35 groups; 0.9 s; peak memory 525 MiB.
2026-09-19T13:50:14Z INFO [119/374] 074e26b3-d11b-4463-bbf1-eb0f615c35fd: 65 groups; 713.7 s; peak memory 1187 MiB.
2026-09-19T13:50:15Z INFO [120/374] 074e772c-2558-48f8-8a3d-ec21f02afb3f: 341 groups; 1.1 s; peak memory 1187 MiB.
2026-09-19T13:50:16Z INFO [121/374] 074fa7c3-08c4-4510-8f1f-b7dc04d6077f: 16 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:50:18Z INFO [122/374] 074fb38d-8f97-437d-9e49-df2bf8330594: 60 groups; 2.4 s; peak memory 1187 MiB.
2026-09-19T13:50:22Z INFO [123/374] 07503ca0-7693-4ccb-81fa-a827eac35250: 86 groups; 3.5 s; peak memory 1187 MiB.
2026-09-19T13:50:26Z INFO [124/374] 0750e8f3-5e8a-4c42-aad4-303e0c61400c: 66 groups; 3.9 s; peak memory 1187 MiB.
2026-09-19T13:50:27Z INFO [125/374] 07517ec6-ffd1-4c7d-9e45-6390bab8baf1: 194 groups; 0.9 s; peak memory 1187 MiB.
2026-09-19T13:50:27Z INFO [126/374] 07521bf9-5f59-4cba-a716-ae822b8ba8b4: 254 groups; 0.8 s; peak memory 1187 MiB.
2026-09-19T13:50:28Z INFO [127/374] 0752b896-4305-4d06-af73-6884e7d39df8: 22 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:50:31Z INFO [128/374] 0752f0da-e95d-4054-8e40-ecd54108c951: 78 groups; 3.3 s; peak memory 1187 MiB.
2026-09-19T13:50:32Z INFO [129/374] 07536aa9-7d6c-4e88-bd88-1d9517b4cb3a: 32 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:50:37Z INFO [130/374] 07541557-74db-443c-b8d4-6d8d2978f08c: 193 groups; 4.9 s; peak memory 1187 MiB.
2026-09-19T13:50:39Z INFO [131/374] 07544e97-08eb-4cd3-a8d6-db2ba4556544: 17 groups; 2.5 s; peak memory 1187 MiB.
2026-09-19T13:50:40Z INFO [132/374] 075492ee-8235-4128-bda0-edf90b5986bd: 22 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:50:41Z INFO [133/374] 0754dafe-459c-4823-9d00-5d670ce165a3: 22 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:50:41Z INFO [134/374] 075519f8-98db-4d07-b118-768869f770aa: 25 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:50:42Z INFO [135/374] 075656cd-6a00-4619-bc60-80be5a605f33: 32 groups; 0.8 s; peak memory 1187 MiB.
2026-09-19T13:50:43Z INFO [136/374] 0756fa1a-bf6b-4647-a0b5-11c35510ec55: 22 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:50:43Z INFO [137/374] 0758504e-115e-4c77-a84d-6ed9140fd392: 22 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:50:51Z INFO [138/374] 07587f38-19c8-4b3c-9f6f-e8e70f1dbf68: 187 groups; 8.0 s; peak memory 1187 MiB.
2026-09-19T13:50:52Z INFO [139/374] 0758df8d-7eaf-4318-82df-7cdfa27f1988: 336 groups; 1.1 s; peak memory 1187 MiB.
2026-09-19T13:50:53Z INFO [140/374] 0758e09f-7f0b-4d58-b0f9-4c887926f01b: 16 groups; 0.4 s; peak memory 1187 MiB.
2026-09-19T13:50:53Z INFO [141/374] 0758e696-430d-4519-a807-d9b33f800b11: 71 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:50:54Z INFO [142/374] 07592932-5fe2-460a-a89e-c98bc2a4eec6: 20 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:50:55Z INFO [143/374] 0759660a-ea15-427d-9d30-c52e673467d0: 16 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:50:56Z INFO [144/374] 0759cf7c-abf0-4582-ab48-2e8196b0c069: 47 groups; 1.4 s; peak memory 1187 MiB.
2026-09-19T13:50:58Z INFO [145/374] 075a3802-7434-4c93-91a0-aeda25695ac3: 48 groups; 1.5 s; peak memory 1187 MiB.
2026-09-19T13:50:58Z INFO [146/374] 075a66a5-81c2-4a1f-bc55-03203bcd92ce: 36 groups; 0.8 s; peak memory 1187 MiB.
2026-09-19T13:50:59Z INFO [147/374] 075a6c60-b4c2-4459-af51-2cdd73088430: 22 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:51:21Z INFO [148/374] 075a7f4d-14f7-4c00-abd6-77b2420138c8: 2834 groups; 22.2 s; peak memory 1187 MiB.
2026-09-19T13:51:22Z INFO [149/374] 075aad05-aeba-4425-bf4b-7d00633417a3: 18 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:51:25Z INFO [150/374] 075af0bb-772e-4c90-b8ec-108485f1c83c: 121 groups; 2.9 s; peak memory 1187 MiB.
2026-09-19T13:51:25Z INFO [150/374] 075af0bb-772e-4c90-b8ec-108485f1c83c: checkpointed 50419 records.
2026-09-19T13:51:27Z INFO [151/374] 075b7169-f709-4c34-8ef9-17fc53d37e5e: 50 groups; 1.7 s; peak memory 1187 MiB.
2026-09-19T13:51:30Z INFO [152/374] 075c0e43-9f53-46de-a291-ef6809029819: 47 groups; 3.7 s; peak memory 1187 MiB.
2026-09-19T13:51:31Z INFO [153/374] 075d4ed5-a566-4121-a011-e569905554ef: 41 groups; 0.9 s; peak memory 1187 MiB.
2026-09-19T13:51:32Z INFO [154/374] 075e07b1-3365-4d4a-9a93-2045fbf84ee3: 16 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:51:32Z INFO [155/374] 075e4178-2721-4a32-8f25-62d99cfd010c: 16 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:51:36Z INFO [156/374] 075e5942-01c2-45a8-8373-c6634787298d: 34 groups; 3.5 s; peak memory 1187 MiB.
2026-09-19T13:51:36Z INFO [157/374] 075e7da4-7592-4c20-82fd-934570ce17f0: 25 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:51:37Z INFO [158/374] 076003fd-1997-40fa-b912-588a4dce50f1: 26 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:51:38Z INFO [159/374] 076094fd-f3be-4273-96ee-26bffc5405b1: 22 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:51:38Z INFO [160/374] 076142cf-0c4c-40c8-802c-47f477a6693c: 22 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:51:39Z INFO [161/374] 0761e12a-b5f6-420d-8331-7110c42ff932: 35 groups; 1.0 s; peak memory 1187 MiB.
2026-09-19T13:51:40Z INFO [162/374] 076268e0-bc73-46f0-9795-53adae880490: 253 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:51:41Z INFO [163/374] 076274bd-6691-49d2-a0b6-e91a84891d89: 257 groups; 0.8 s; peak memory 1187 MiB.
2026-09-19T13:51:42Z INFO [164/374] 076290cd-18a8-4c8e-934f-46b57e6e282e: 32 groups; 0.8 s; peak memory 1187 MiB.
2026-09-19T13:51:42Z INFO [165/374] 07636724-679e-42e9-a1b6-fd17e6c44f05: 32 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:51:43Z INFO [166/374] 076403b2-f9b0-478b-b723-38957c5de4f2: 22 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:51:43Z INFO [167/374] 07642813-88ef-4ad7-8982-6a90c0785821: 18 groups; 0.4 s; peak memory 1187 MiB.
2026-09-19T13:51:44Z INFO [168/374] 07649b54-5f16-48d2-aa7a-873005498334: 30 groups; 0.9 s; peak memory 1187 MiB.
2026-09-19T13:51:52Z INFO [169/374] 07657b56-8630-49dd-b51a-e65374dbcccd: 203 groups; 7.2 s; peak memory 1187 MiB.
2026-09-19T13:51:52Z INFO [170/374] 0766708e-7888-42f6-b3bd-018863016286: 28 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:51:53Z INFO [171/374] 0766e4d4-a485-49b5-9673-2c43b461cfcf: 22 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:51:54Z INFO [172/374] 0766e53f-422b-4492-8a5c-4b337c149505: 50 groups; 1.5 s; peak memory 1187 MiB.
2026-09-19T13:51:55Z INFO [173/374] 07674dff-0f0f-4919-af2c-30f283d2cc19: 30 groups; 0.5 s; peak memory 1187 MiB.
2026-09-19T13:51:56Z INFO [174/374] 07674ea0-3894-4d67-bea0-53606002cb8d: 48 groups; 1.2 s; peak memory 1187 MiB.
2026-09-19T13:51:56Z INFO [175/374] 07681e55-667e-42f7-a262-6894ca5a23de: 22 groups; 0.6 s; peak memory 1187 MiB.
2026-09-19T13:52:05Z INFO [176/374] 076832fa-ec96-46a2-b70b-beeae98a7418: 280 groups; 8.9 s; peak memory 1187 MiB.
2026-09-19T13:52:06Z INFO [177/374] 0768f31b-30e0-41be-a68d-94c875ab5954: 29 groups; 0.7 s; peak memory 1187 MiB.
2026-09-19T13:52:10Z INFO [178/374] 076a3cfa-c6ec-4a73-ae17-90d9093f5e1d: 181 groups; 4.1 s; peak memory 1187 MiB.
2026-09-19T13:52:10Z INFO [179/374] 076b4248-8d01-408a-a38b-fe578c475296: 16 groups; 0.4 s; peak memory 1187 MiB.
