2026-09-18T18:40:45Z INFO Logging to /tmp/logs/update_2026-09-18T18-40-45Z.log.
2026-09-18T18:40:45Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-18T18:40:45Z INFO Processing 375 items (49526 already recorded).
2026-09-18T18:49:29Z INFO [123/375] 05c9d2fe-3da7-45b4-9872-a88f0a580531: 29 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:49:52Z INFO [124/375] 05cb109a-cc08-414a-8319-184f1c57b426: 380 groups; 22.9 s; peak memory 414 MiB.
2026-09-18T18:49:54Z INFO [125/375] 05cb6639-ed9a-4b1f-aec3-4ba92522bacf: 33 groups; 1.1 s; peak memory 414 MiB.
2026-09-18T18:49:55Z INFO [126/375] 05cb6c48-85f4-4bf7-9fc0-4b5163dfc5ce: 32 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:49:56Z INFO [127/375] 05cbc955-d0e4-4fe2-bcdc-1123ae448302: 254 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:49:57Z INFO [128/375] 05cbe4c5-10d0-4be0-8165-54023e3365b3: 22 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:49:57Z INFO [129/375] 05cc0bdc-7588-4d72-9555-017e3936a13b: 30 groups; 0.6 s; peak memory 414 MiB.
2026-09-18T18:49:59Z INFO [130/375] 05cc0d18-7f31-4034-afbd-8b10e2613101: 43 groups; 1.3 s; peak memory 414 MiB.
2026-09-18T18:50:01Z INFO [131/375] 05cdddb0-99c2-4dcb-b547-72675f21b048: 54 groups; 2.1 s; peak memory 414 MiB.
2026-09-18T18:50:02Z INFO [132/375] 05ce6a89-c16c-4cf3-8fda-e5e8eaacb29c: 25 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:50:02Z INFO [133/375] 05ce86e7-9dcd-473d-bdc3-b0932b164814: 16 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:50:03Z INFO [134/375] 05cf5867-d1ca-411c-9c31-5c9e64d4b91c: 22 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:50:04Z INFO [135/375] 05cf647f-c9a4-447c-82ed-0995dd65f7b0: 22 groups; 0.7 s; peak memory 414 MiB.
2026-09-18T18:50:11Z INFO [136/375] 05d016bf-0013-46c8-85a9-43317a3d97f9: 199 groups; 6.7 s; peak memory 414 MiB.
2026-09-18T18:50:12Z INFO [137/375] 05d0f20f-7dfa-4a75-a6f0-5991b08ff145: 341 groups; 1.5 s; peak memory 414 MiB.
2026-09-18T18:50:13Z INFO [138/375] 05d1999b-579c-41d4-90f3-4e4578c78092: 32 groups; 1.1 s; peak memory 414 MiB.
2026-09-18T18:50:15Z INFO [139/375] 05d31498-49de-41f9-8fa0-5c9bf05e182c: 31 groups; 1.4 s; peak memory 414 MiB.
2026-09-18T18:50:17Z INFO [140/375] 05d338a6-ce76-4b41-8581-d917e769a17b: 48 groups; 2.1 s; peak memory 414 MiB.
2026-09-18T18:50:23Z INFO [141/375] 05d3af79-2153-4a61-b03e-4a446f7ffe4d: 122 groups; 6.0 s; peak memory 414 MiB.
2026-09-18T18:50:30Z INFO [142/375] 05d3f15d-7f28-425b-8669-38104b4ab19e: 176 groups; 7.2 s; peak memory 414 MiB.
2026-09-18T18:50:41Z INFO [143/375] 05d3f2a3-de1e-41ae-a7bf-617d3b0f443b: 188 groups; 11.5 s; peak memory 414 MiB.
2026-09-18T18:50:43Z INFO [144/375] 05d5c1b2-40ee-4be7-b8d0-b3399be7c7b1: 202 groups; 1.2 s; peak memory 414 MiB.
2026-09-18T18:50:44Z INFO [145/375] 05d6b2b6-db8c-488d-83db-6b2913d834b9: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:50:45Z INFO [146/375] 05d70301-25b7-4952-806d-dd0c18af0d9b: 35 groups; 1.4 s; peak memory 414 MiB.
2026-09-18T18:50:46Z INFO [147/375] 05d76bda-b96d-40e5-9b79-43ee6d21c5d4: 22 groups; 0.7 s; peak memory 414 MiB.
2026-09-18T18:50:49Z INFO [148/375] 05d777b8-e8d2-4d3d-9485-2a4c92430c35: 555 groups; 3.0 s; peak memory 414 MiB.
2026-09-18T18:50:49Z INFO [149/375] 05d7e774-4f38-4a01-a3d6-44ee446384a1: 16 groups; 0.7 s; peak memory 414 MiB.
2026-09-18T18:50:50Z INFO [150/375] 05d8c301-ff5d-40bb-b8f9-86873da610a1: 22 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:50:50Z INFO [150/375] 05d8c301-ff5d-40bb-b8f9-86873da610a1: checkpointed 49676 records.
2026-09-18T18:50:52Z INFO [151/375] 05d8ccf3-876a-4bef-8538-84d573c95cdb: 202 groups; 1.3 s; peak memory 414 MiB.
2026-09-18T18:50:54Z INFO [152/375] 05d923fd-21c9-4a66-b16e-2733edb17f3c: 48 groups; 1.9 s; peak memory 414 MiB.
2026-09-18T18:50:54Z INFO [153/375] 05da4c35-5ff5-4d85-8da2-2ccef029ce2b: 22 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:50:55Z INFO [154/375] 05db92d2-7293-4c3e-aec1-5f3dfd6350c4: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:50:57Z INFO [155/375] 05dbc7f8-556a-4ef1-bf43-b5f879147d54: 64 groups; 1.9 s; peak memory 414 MiB.
2026-09-18T18:51:40Z INFO [156/375] 05dc77fd-77c4-4b6e-b421-6379db323205: 22 groups; 42.3 s; peak memory 414 MiB.
2026-09-18T18:51:40Z INFO [157/375] 05dc8659-2f41-44a7-a071-552ba7695630: 22 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:51:42Z INFO [158/375] 05dc8ba0-cb03-472c-a3b8-235538b6d9d0: 32 groups; 1.1 s; peak memory 414 MiB.
2026-09-18T18:51:42Z INFO [159/375] 05dd56f3-3d6d-4079-aa71-b7b3c757c763: 16 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:51:44Z INFO [160/375] 05dedba2-a197-47e6-9eab-a1c7aece477a: 48 groups; 1.6 s; peak memory 414 MiB.
2026-09-18T18:51:46Z INFO [161/375] 05df9cf5-b792-47f7-9ecb-587cd66e3c39: 204 groups; 1.7 s; peak memory 414 MiB.
2026-09-18T18:51:47Z INFO [162/375] 05e1a42b-1cbc-4c38-a5fb-2abd6415ba2d: 20 groups; 0.8 s; peak memory 414 MiB.
2026-09-18T18:51:54Z INFO [163/375] 05e233f6-aa50-41ac-a914-78b1f8085252: 266 groups; 7.9 s; peak memory 414 MiB.
2026-09-18T18:51:55Z INFO [164/375] 05e35301-1526-4b02-8dd3-0f7c0ad3c84d: 22 groups; 0.9 s; peak memory 414 MiB.
2026-09-18T18:51:56Z INFO [165/375] 05e35e26-21d1-4944-80eb-f7baebc8c814: 32 groups; 1.0 s; peak memory 414 MiB.
2026-09-18T18:51:57Z INFO [166/375] 05e3811a-81c4-413b-b57d-aa3742862023: 32 groups; 1.1 s; peak memory 414 MiB.
