2026-09-21T17:14:51Z INFO Logging to /tmp/logs/update_2026-09-21T17-14-51Z.log.
2026-09-21T17:14:51Z INFO Update valid-nwb-file-to-number-of-groups (base directory /tmp).
2026-09-21T17:14:52Z INFO Processing 367 items (52499 already recorded).
2026-09-21T17:18:23Z INFO [83/367] 0bee4f44-a071-44b7-a6a9-0c562f8d92c7: 35 groups; 1.0 s; peak memory 245 MiB.
2026-09-21T17:18:24Z INFO [84/367] 0bee5ab4-db69-4f92-a5f5-dd7a20ed91df: 199 groups; 1.3 s; peak memory 245 MiB.
2026-09-21T17:18:28Z INFO [85/367] 0bee8a84-5d66-4337-a23e-9bb555b415cd: 78 groups; 3.9 s; peak memory 245 MiB.
2026-09-21T17:18:29Z INFO [86/367] 0beea927-1d05-4951-b370-5d0df14cbcba: 200 groups; 1.1 s; peak memory 245 MiB.
2026-09-21T17:18:30Z INFO [87/367] 0bef848c-7a1d-423f-8f66-dae0a33c8b0a: 22 groups; 0.7 s; peak memory 245 MiB.
2026-09-21T17:18:42Z INFO [88/367] 0bf03275-5079-4594-bee4-4858fc3bf2d2: 23 groups; 12.2 s; peak memory 245 MiB.
2026-09-21T17:18:43Z INFO [89/367] 0bf03b84-2593-439e-9ea9-965d3762846d: 22 groups; 0.8 s; peak memory 245 MiB.
2026-09-21T17:18:44Z INFO [90/367] 0bf0a692-94b5-4149-8eeb-8344431d8c0d: 35 groups; 1.1 s; peak memory 245 MiB.
2026-09-21T17:18:45Z INFO [91/367] 0bf1bcb2-c64a-45d3-b40b-ad4fa6b79f58: 16 groups; 0.7 s; peak memory 245 MiB.
2026-09-21T17:18:46Z INFO [92/367] 0bf202ee-0bf6-43e4-b3fe-d14c83898694: 32 groups; 1.1 s; peak memory 245 MiB.
2026-09-21T17:18:50Z INFO [93/367] 0bf20ba6-3809-417e-a3af-a8b7156fe10d: 85 groups; 4.8 s; peak memory 245 MiB.
2026-09-21T17:18:51Z INFO [94/367] 0bf22d77-708e-4291-aa74-4e75379cd50e: 22 groups; 0.8 s; peak memory 245 MiB.
2026-09-21T17:18:58Z INFO [95/367] 0bf23b1a-82bd-43f9-ae05-b7599ff7fd26: 164 groups; 6.6 s; peak memory 245 MiB.
2026-09-21T17:18:59Z INFO [96/367] 0bf26de9-8ca8-4331-982a-e27a709aca9a: 32 groups; 0.9 s; peak memory 245 MiB.
2026-09-21T17:19:00Z INFO [97/367] 0bf353bf-6c3f-47d7-b438-a21cab303c12: 22 groups; 0.9 s; peak memory 245 MiB.
2026-09-21T17:19:01Z INFO [98/367] 0bf47f3a-2b67-44c7-a298-51c260d9ae47: 32 groups; 1.0 s; peak memory 245 MiB.
2026-09-21T17:19:06Z INFO [99/367] 0bf49b27-f4e6-4008-9d37-fb48dfd4ebc0: 167 groups; 4.9 s; peak memory 245 MiB.
2026-09-21T17:19:07Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: 22 groups; 1.0 s; peak memory 245 MiB.
2026-09-21T17:19:07Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: checkpointed 52599 records.
2026-09-21T17:19:09Z INFO [101/367] 0bf6026d-f890-474c-8ee7-6ab80e95bb00: 341 groups; 2.0 s; peak memory 245 MiB.
2026-09-21T17:19:10Z INFO [102/367] 0bf71dd5-b42d-4773-a39e-45c764aa08f6: 32 groups; 1.4 s; peak memory 245 MiB.
2026-09-21T17:19:15Z INFO [103/367] 0bf7bf21-e55f-4072-a589-0554640d196b: 53 groups; 4.9 s; peak memory 245 MiB.
2026-09-21T17:19:20Z INFO [104/367] 0bf88989-2452-4f92-9471-25b7c30f5844: 157 groups; 5.0 s; peak memory 245 MiB.
2026-09-21T17:19:21Z INFO [105/367] 0bf8be3f-b74b-4b3b-8111-1f6385598eba: 49 groups; 1.3 s; peak memory 245 MiB.
2026-09-21T17:19:22Z INFO [106/367] 0bf950da-e9b8-4185-ae2b-1a153db299ea: 22 groups; 0.8 s; peak memory 245 MiB.
2026-09-21T17:19:23Z INFO [107/367] 0bf97fe4-9258-4985-8974-117918874f90: 254 groups; 1.1 s; peak memory 245 MiB.
2026-09-21T17:19:24Z INFO [108/367] 0bfaf92c-a454-4a4d-a112-a6b22ec7321a: 35 groups; 0.9 s; peak memory 245 MiB.
2026-09-21T17:19:25Z INFO [109/367] 0bfb384e-9d4d-40db-bffb-b3dbb69bd189: 32 groups; 1.0 s; peak memory 245 MiB.
2026-09-21T17:19:28Z INFO [110/367] 0bfbd075-9b6f-455d-94c1-4de5324913fd: 78 groups; 2.8 s; peak memory 245 MiB.
2026-09-21T17:19:30Z INFO [111/367] 0bfc1b50-42be-403e-ba76-73eb2a9d6439: 17 groups; 2.3 s; peak memory 245 MiB.
2026-09-21T17:19:31Z INFO [112/367] 0bfc3322-7d9e-453b-8d53-e54c0c5d6eb9: 22 groups; 0.8 s; peak memory 245 MiB.
2026-09-21T17:19:32Z INFO [113/367] 0bfcac95-a1f8-433d-b727-ff1f636939b9: 35 groups; 1.4 s; peak memory 245 MiB.
2026-09-21T17:19:50Z INFO [114/367] 0bfcc967-d709-4ea1-b982-0c61ae7a58f2: 500 groups; 17.5 s; peak memory 288 MiB.
2026-09-21T17:19:51Z INFO [115/367] 0bfd45a4-99c1-4941-90d7-4e9bf3d8f42b: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:19:52Z INFO [116/367] 0bfd6a65-129a-4865-9af6-dc2fdd45a2c2: 203 groups; 1.1 s; peak memory 288 MiB.
2026-09-21T17:19:53Z INFO [117/367] 0bfd9050-c49d-42a3-9067-d8b6c3aa7e4c: 36 groups; 1.1 s; peak memory 288 MiB.
2026-09-21T17:19:55Z INFO [118/367] 0bfd9ae1-7e17-4221-848a-4f6d558494bb: 47 groups; 2.5 s; peak memory 288 MiB.
2026-09-21T17:19:56Z INFO [119/367] 0bfe049c-bb8b-4007-83c0-bf6d8df01702: 32 groups; 1.1 s; peak memory 288 MiB.
2026-09-21T17:19:57Z INFO [120/367] 0bfe656d-5275-451c-a1c5-15b57e4e922e: 28 groups; 0.7 s; peak memory 288 MiB.
2026-09-21T17:19:58Z INFO [121/367] 0bfe9c7a-a991-41f3-a5cd-85737a14ae52: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:19:59Z INFO [122/367] 0bfef0d4-8219-4432-a3dc-44cac6fbce48: 32 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:20:02Z INFO [123/367] 0bfefd5b-ad99-4e48-973e-d440d5458645: 73 groups; 3.2 s; peak memory 288 MiB.
2026-09-21T17:20:09Z INFO [124/367] 0c0086e2-bf72-4dae-8de6-2c317816fea8: 284 groups; 6.7 s; peak memory 288 MiB.
2026-09-21T17:20:09Z INFO [125/367] 0c01c2e2-c0d7-4375-945e-9abd47741968: 22 groups; 0.6 s; peak memory 288 MiB.
2026-09-21T17:20:14Z INFO [126/367] 0c01db87-564c-49eb-b459-e48b0867216c: 47 groups; 4.4 s; peak memory 288 MiB.
2026-09-21T17:20:16Z INFO [127/367] 0c0244aa-10cc-40dd-a189-819cb2bd20b5: 61 groups; 2.2 s; peak memory 288 MiB.
2026-09-21T17:20:17Z INFO [128/367] 0c02d440-5747-4207-bf75-726b8966e231: 202 groups; 1.1 s; peak memory 288 MiB.
2026-09-21T17:20:18Z INFO [129/367] 0c033e16-687b-483b-a370-a4b25d7eefcb: 203 groups; 1.0 s; peak memory 288 MiB.
2026-09-21T17:20:19Z INFO [130/367] 0c036435-f5e1-4b02-8cee-61edbf7790cf: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:20:22Z INFO [131/367] 0c03d995-e16f-4a8a-b14e-61f65a4102d6: 78 groups; 3.4 s; peak memory 288 MiB.
2026-09-21T17:20:36Z INFO [132/367] 0c056b43-6267-48ae-b2bf-0ec117c12194: 23 groups; 13.4 s; peak memory 288 MiB.
2026-09-21T17:20:36Z INFO [133/367] 0c05f8d7-4db4-4e87-8197-025322337f19: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:20:37Z INFO [134/367] 0c06ba2d-380c-4171-82d5-0c5f075e7b3b: 22 groups; 0.7 s; peak memory 288 MiB.
2026-09-21T17:20:38Z INFO [135/367] 0c073c33-97f8-4353-be2c-b2fe76aa6fc5: 22 groups; 0.7 s; peak memory 288 MiB.
2026-09-21T17:20:42Z INFO [136/367] 0c079a8b-4343-4566-ac18-af39d1bca5dc: 84 groups; 4.5 s; peak memory 288 MiB.
2026-09-21T17:20:43Z INFO [137/367] 0c0873ee-8af0-40af-90c6-913fbcbc1f93: 24 groups; 1.0 s; peak memory 288 MiB.
2026-09-21T17:20:44Z INFO [138/367] 0c08e2b1-efc9-473f-8b05-6131a84a1936: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:20:46Z INFO [139/367] 0c09694b-0f96-4e65-aaf1-af1f7f4a3187: 74 groups; 2.5 s; peak memory 288 MiB.
2026-09-21T17:20:47Z INFO [140/367] 0c0a789b-c523-4280-a8fe-93225d9277d7: 22 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:20:48Z INFO [141/367] 0c0a837a-849f-4d35-b2d6-f1bc992dbe1d: 22 groups; 0.9 s; peak memory 288 MiB.
2026-09-21T17:20:54Z INFO [142/367] 0c0ad8a8-60c1-4148-a1b3-666f36fc16aa: 294 groups; 6.2 s; peak memory 288 MiB.
2026-09-21T17:20:55Z INFO [143/367] 0c0c20fd-c4ca-43c0-b103-8ba372f3a7d7: 32 groups; 1.1 s; peak memory 288 MiB.
2026-09-21T17:20:59Z INFO [144/367] 0c0c5077-0950-451d-8c9f-448165156bf7: 64 groups; 3.8 s; peak memory 288 MiB.
2026-09-21T17:21:14Z INFO [145/367] 0c0dbb76-efe6-4339-8b1b-c09a84b384c5: 214 groups; 15.2 s; peak memory 288 MiB.
2026-09-21T17:21:15Z INFO [146/367] 0c0dce25-3030-42f5-ae76-81fd98a7b7c5: 32 groups; 0.8 s; peak memory 288 MiB.
2026-09-21T17:21:18Z INFO [147/367] 0c0e0290-843e-44c4-861e-f33a7346f108: 889 groups; 2.8 s; peak memory 288 MiB.
